AXTAR,AXTAR satellite - Falcon 9 Launched,1301,60,2127.39,4972.15,405.25,52.57,10.78
AXTAR,AXTAR satellite - Taurus II Launched,741,33.05,1566.57,2690.16,207.94,32.5,6.25
HEAT,Block 1 Cryogenic Propulsion Stage,2762.38,2721.2,9785.72,98155.13,84413.37,361.77,469.4
HEAT,Block 2 Cryogenic Propulsion Stage,4384.93,2721.2,15996.05,106048.57,86377,933.91,469.4
CLARREO,CLARREO satellite,54.22,13.15,295.95,458.81,72.2,9.11,1.88
NTP,Concept Mars Transport All-in-One,27274,9586.32,189864.88,481850.56,0,6967.97,27007.26
NTP,Concept Mars Transport All-in-One Chemical,13371.13,5994.67,69837.25,429091.8,168711.1,5346.49,20593.22
NTP,Concept Mars Transport Cargo,9404.24,3643.2,107700.48,214770.24,0,5724.51,15010.07
NTP,Concept Mars Transport Cargo Chemical,3236.11,3313.76,104950.5,192354.3,39923.87,3785.4,9513
NTP,Concept Mars Transport Crew,25033.92,6403.28,99195.52,300404.24,0,6864.18,26578.57
NTP,Concept Mars Transport Crew Chemical,6276.7,4865.98,61985.14,275642.2,57700.03,5609.52,14916.38
CFMDL,Cryo Fluid Management Lunar Lander Demo,711.63,289.12,2955.42,13857.33,9700,227.5,232.38
CPS1,Cryogenic Propulsion Stage (Study 1),2065.61,1583.66,7060.49,56031.01,48809.58,0,0
CPS2,Cryogenic Propulsion Stage (Study 2),3260.89,3270.68,13233.67,139982.86,113735.26,447.28,631.09
CPS3,Cryogenic Propulsion Stage (Study 3),2746.41,947.6,10171.8,71938.07,42500,0,0
CPST,Cryogenic Propulsion Storage & Transfer,128.04,0,907.58,1195.08,260,33.93,13.82
CRYOSTAT 2,CRYOSTAT Reduced Mass Concept,550.73,0,1728.99,2741.19,1000,53.01,28.06
Enceladus,Enceladus Sample Return Mission Stage 1,155.7,183.4,745.6,1646.8,761.5,34.95,15.71
Enceladus,Enceladus Sample Return Mission Stage 2,571.9,539,1505,4698.6,2910.1,36.76,16.96
Enceladus,Enceladus Sample Return Mission Stage 3,1000.1,1812,5540,21114.5,14431.8,86.39,58.9
EUS,Exploration Upper Stage,2430.99,3219.95,14791.96,144634.81,129842.85,461.68,670.34
CRYOSTAT 1,Flagship Depot Mission Concept,1242.9,39.45,3687.31,11418.86,7727,73.12,47.14
FC,FlexCraft Manned EVA Vehicle,113.76,0,353.3,415.77,14.25,3.53,0.39
InflP,Inflatable Power System Concept,1,0,19.85,19.85,0,19.63,8.18
ILAT,Integ Lunar Arch Transport Descent DEALS,1002.22,303.19,6267.06,30011.27,10758.83,331.2,380.7
ILAT,Integ Lunar Arch Transport Descent LAT,695.9,855.7,7280.91,65185.14,23644.37,282.74,349.89
